key,dataset,scenario,decision_rule,window_length,windows,tile_batch,legacy_stap_cold_ms,legacy_stap_steady_mean_ms,legacy_stap_steady_median_ms,optimized_stap_cold_ms,optimized_stap_steady_mean_ms,optimized_stap_steady_median_ms,stap_speedup_mean,legacy_total_steady_mean_ms,optimized_total_steady_mean_ms,total_speedup_mean,parity_overall_max_abs,parity_score_stap_max_abs,status,notes
brain_openskull_full,brain_kwave,Brain-OpenSkull,full,64,"[0, 64, 128, 192, 256]",192,582.0944299921393,831.5851987572387,838.083722977899,513.5717371013016,538.3188212290406,542.400233913213,1.54478195070096,1072.949668741785,768.0110205546953,1.3970498339553097,2.9636959553158704e-11,2.9636959553158704e-11,ok,
brain_aliascontract_full,brain_kwave,Brain-AliasContract,full,64,"[0, 64, 128, 192, 256]",192,481.40612384304404,794.628226722125,801.3970039319247,523.242776049301,544.101184932515,533.2392004784197,1.4604420073459,1046.4013502351008,779.3490763870068,1.3426606663680474,5.652422974122828e-14,5.652422974122828e-14,ok,
brain_skullor_full,brain_kwave,Brain-SkullOR,full,64,"[0, 64, 128, 192, 256]",192,492.920964024961,796.44557175925,799.8540959088132,518.8049429561943,541.779643681366,546.12944542896,1.4700544419636028,1046.9870241940953,783.4048719378188,1.336457126701655,5.652422974122828e-14,5.652422974122828e-14,ok,
brain_openskull_conditional,brain_kwave,Brain-OpenSkull,conditional,64,"[0, 64, 128, 192, 256]",192,140.76348301023245,168.04714646423236,169.14652398554608,333.080567070283,334.0665450086817,341.26942546572536,0.5030349461059178,415.26651894673705,556.367484794464,0.7463889071449725,3.213796738362742e-15,3.213796738362742e-15,ok,
brain_aliascontract_conditional,brain_kwave,Brain-AliasContract,conditional,64,"[0, 64, 128, 192, 256]",192,169.8354909894988,172.46800725115463,172.40973300067708,272.2390100825578,371.87066924525425,372.24498396972194,0.46378491640976777,420.99854425759986,607.2561409964692,0.6932800112433078,2.5272075014279305e-17,2.5272075014279305e-17,ok,
brain_skullor_conditional,brain_kwave,Brain-SkullOR,conditional,64,"[0, 64, 128, 192, 256]",192,220.35442595370114,171.79283473524265,171.89187253825366,265.57859091553837,374.4569405389484,386.6668920381926,0.4587786101333431,416.93149218917824,606.5034657658543,0.6874346408931126,2.5272075014279305e-17,2.5272075014279305e-17,ok,
shin_fig3_full,shin_ratbrain,ShinRatBrain_Fig3,full,128,"[""f0_128"", ""f64_192"", ""f122_250""]",192,1045.4609394073486,348.0687141418457,348.0687141418457,699.5134353637695,154.00385856628418,154.00385856628418,2.260129826500645,367.0599501347169,174.2755981395021,2.1062039324684863,1694268129280.0,0.020939111709594727,ok,
shin_fig3_conditional,shin_ratbrain,ShinRatBrain_Fig3,conditional,128,"[""f0_128"", ""f64_192"", ""f122_250""]",192,82.34977722167969,82.06641674041748,82.06641674041748,110.34584045410156,116.13059043884277,116.13059043884277,0.7066735511315227,101.4377212850377,136.1423758789897,0.7450855814004651,1694268129280.0,0.021260619163513184,ok,
gammex_along_linear17_full,twinkling_gammex,Gammex along (linear17 @ PRF 2500; per cine frame),full,1,"[0, 1, 2, 3, 4, 5]",512,217.71907806396484,107.83171653747559,96.49109840393066,266.20960235595703,53.14493179321289,45.5632209777832,2.029012229370228,115.50571857951581,60.458286199718714,1.910502692682235,131072.0,2.9802322387695312e-08,ok,
gammex_across_linear17_full,twinkling_gammex,Gammex across (linear17 @ PRF 2500; per cine frame),full,1,"[0, 1, 2, 3, 4, 5]",512,45.61424255371094,40.967655181884766,40.80843925476074,59.30209159851074,18.92237663269043,18.78666877746582,2.1650375096703636,42.60212918743491,20.360377756878734,2.0924036722767494,1024.0,1.4901161193847656e-08,ok,
