case,profile,candidate,auc_main_vs_bg,auc_main_vs_nuisance,fpr_nuisance_match@0p5
intraop025,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,baseline_score,0.626532759009088,0.04604176784847013,1.0
intraop025,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,stap_detector,0.4970155483791008,0.41466731423020886,0.6344827586206897
intraop025,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,fusion_rank_min,0.5763883205147092,0.28937995790836973,0.7655172413793103
intraop025,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,fusion_base_x_rankstap,0.5733526177820701,0.1613080783551886,0.8931034482758621
intraop025,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,fusion_base_x_tailstap,0.5576331418139697,0.21486158329286062,0.8586206896551725
intraop025,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,fusion_base_x_zstap_pos,0.5193586946439276,0.3496357455075279,1.0
intraop1,ClinIntraOp-Pf-v1+motionx1_phasex1,baseline_score,0.5903763663390493,0.03568075117370892,1.0
intraop1,ClinIntraOp-Pf-v1+motionx1_phasex1,stap_detector,0.46022475268902696,0.34398575360207223,0.7137931034482758
intraop1,ClinIntraOp-Pf-v1+motionx1_phasex1,fusion_rank_min,0.55560648188205,0.22094058604500566,0.8172413793103448
intraop1,ClinIntraOp-Pf-v1+motionx1_phasex1,fusion_base_x_rankstap,0.5324978817506288,0.10205601424639793,0.9310344827586207
intraop1,ClinIntraOp-Pf-v1+motionx1_phasex1,fusion_base_x_tailstap,0.5123008514310168,0.1472235713129351,0.903448275862069
intraop1,ClinIntraOp-Pf-v1+motionx1_phasex1,fusion_base_x_zstap_pos,0.4773178753744449,0.29108790675084995,1.0
mobile025,ClinMobile-Pf-v1+motionx0p25_phasex0p25,baseline_score,0.5656879458164672,0.0346379040526685,1.0
mobile025,ClinMobile-Pf-v1+motionx0p25_phasex0p25,stap_detector,0.4957936088499562,0.4506097890022125,0.5660919540229885
mobile025,ClinMobile-Pf-v1+motionx0p25_phasex0p25,fusion_rank_min,0.5302721609417421,0.2942839026496142,0.75
mobile025,ClinMobile-Pf-v1+motionx0p25_phasex0p25,fusion_base_x_rankstap,0.5337542160372718,0.15915897684960337,0.8936781609195402
mobile025,ClinMobile-Pf-v1+motionx0p25_phasex0p25,fusion_base_x_tailstap,0.5290800366981344,0.22122389509470616,0.853448275862069
mobile025,ClinMobile-Pf-v1+motionx0p25_phasex0p25,fusion_base_x_zstap_pos,0.5126081632303089,0.38805245264691596,1.0
mobile1,ClinMobile-Pf-v1+motionx1_phasex1,baseline_score,0.42019305494820713,0.023851923803356538,1.0
mobile1,ClinMobile-Pf-v1+motionx1_phasex1,stap_detector,0.4647310505347654,0.4039447412444013,0.6264367816091954
mobile1,ClinMobile-Pf-v1+motionx1_phasex1,fusion_rank_min,0.4568579638771252,0.21559144136851763,0.8390804597701149
mobile1,ClinMobile-Pf-v1+motionx1_phasex1,fusion_base_x_rankstap,0.42754788178960307,0.13484161675031028,0.9137931034482759
mobile1,ClinMobile-Pf-v1+motionx1_phasex1,fusion_base_x_tailstap,0.43210435895577126,0.18907506340726352,0.8764367816091954
mobile1,ClinMobile-Pf-v1+motionx1_phasex1,fusion_base_x_zstap_pos,0.4706510411185916,0.3557214937132373,1.0
structv2,ClinIntraOp-Pf-Struct-v2,baseline_score,0.9823596791329637,0.6176299174356483,0.2482758620689655
structv2,ClinIntraOp-Pf-Struct-v2,stap_detector,0.9425679652100438,1.0,0.0
structv2,ClinIntraOp-Pf-Struct-v2,fusion_rank_min,0.9892134922546514,1.0,0.0
structv2,ClinIntraOp-Pf-Struct-v2,fusion_base_x_rankstap,0.9917353197718605,0.9808240246074146,0.0
structv2,ClinIntraOp-Pf-Struct-v2,fusion_base_x_tailstap,0.9926572551697367,0.992277804759592,0.0
structv2,ClinIntraOp-Pf-Struct-v2,fusion_base_x_zstap_pos,0.9888470370621537,0.9964788732394366,0.0
