bundle,profile,tier,motion_disp_rms_px,phase_rms_rad,bundle_dir,run_dir,candidate,n_h1_pf_main,n_h0_bg,n_h0_nuisance_pa,n_h1_alias_qc,auc_main_vs_bg,auc_main_vs_nuisance,fpr_floor_bg,fpr_floor_nuisance,thr@1e-04,tpr_main@1e-04,fpr_bg@1e-04,fpr_nuisance@1e-04,tpr_alias_qc@1e-04,thr@1e-03,tpr_main@1e-03,fpr_bg@1e-03,fpr_nuisance@1e-03,tpr_alias_qc@1e-03,thr_match_tpr@0p25,tpr_main_match@0p25,fpr_bg_match@0p25,fpr_nuisance_match@0p25,tpr_alias_qc_match@0p25,thr_match_tpr@0p5,tpr_main_match@0p5,fpr_bg_match@0p5,fpr_nuisance_match@0p5,tpr_alias_qc_match@0p5,thr_match_tpr@0p75,tpr_main_match@0p75,fpr_bg_match@0p75,fpr_nuisance_match@0p75,tpr_alias_qc_match@0p75,h1_median,h1_mean,bg_median,bg_mean,nuisance_median,nuisance_mean,corr_vs_score_stap_preka
simus_clinintraop_pf_v1_motionx0_phasex0_seed21__mcsvd_regon_stap,ClinIntraOp-Pf-v1+motionx0_phasex0,paper,0.0,0.0,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinintraop_pf_v1_motionx0_phasex0_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_intraop_paper_seed21/runs/simus_clinintraop_pf_v1_motionx0_phasex0_seed21,pd_stap,426,12046,290,290,0.9484984788358242,0.3491905455722843,8.301510874979246e-05,0.0034482758620689655,9283324.782000028,0.176056338028169,0.00016603021749958492,0.23448275862068965,0.23448275862068965,7955297.647499998,0.24413145539906103,0.001079196413747302,0.35172413793103446,0.35172413793103446,7886102.625,0.2511737089201878,0.001245226631246887,0.36551724137931035,0.36551724137931035,4396161.5,0.5,0.033953179478665114,0.8103448275862069,0.8103448275862069,2479241.75,0.7488262910798122,0.06558193591233605,0.9517241379310345,0.9517241379310345,4396161.5,5882112.89339422,55947.515625,575784.9125763967,6028791.5,7135072.48125,0.0495225262689185
simus_clinintraop_pf_v1_motionx0_phasex0_seed21__mcsvd_regon_stap,ClinIntraOp-Pf-v1+motionx0_phasex0,paper,0.0,0.0,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinintraop_pf_v1_motionx0_phasex0_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_intraop_paper_seed21/runs/simus_clinintraop_pf_v1_motionx0_phasex0_seed21,score_stap_preka,426,12046,290,290,0.9514061512246872,1.0,8.301510874979246e-05,0.0034482758620689655,9.698175082206731,0.10093896713615023,0.00016603021749958492,0.0,0.0,9.551032361984252,0.16901408450704225,0.001079196413747302,0.0,0.0,9.425453662872314,0.2511737089201878,0.0029885439149925285,0.0,0.0,9.005438327789307,0.5,0.020338701643699154,0.0,0.0,8.107855081558228,0.7488262910798122,0.05703137971110742,0.0,0.0,9.005438327789307,8.585742734407596,2.928669810295105,3.6816942999969777,1.0272387862205505,1.0187267566549367,1.0
simus_clinintraop_pf_v1_motionx0_phasex0_seed21__mcsvd_regon_stap,ClinIntraOp-Pf-v1+motionx0_phasex0,paper,0.0,0.0,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinintraop_pf_v1_motionx0_phasex0_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_intraop_paper_seed21/runs/simus_clinintraop_pf_v1_motionx0_phasex0_seed21,band_fraction,426,12046,290,290,0.0,1.0,8.301510874979246e-05,0.0034482758620689655,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9485578089952469,0.2511737089201878,1.0,0.0,0.0,0.9440466165542603,0.5,1.0,0.0,0.0,0.9322728216648102,0.7488262910798122,1.0,0.0,0.0,0.9440466165542603,0.9339000648456001,1.0,1.0,0.49618668854236603,0.4909235257526924,0.3129863314894036
simus_clinintraop_pf_v1_motionx0_phasex0_seed21__mcsvd_regon_stap,ClinIntraOp-Pf-v1+motionx0_phasex0,paper,0.0,0.0,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinintraop_pf_v1_motionx0_phasex0_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_intraop_paper_seed21/runs/simus_clinintraop_pf_v1_motionx0_phasex0_seed21,band_suppression,426,12046,290,290,1.0,0.0,8.301510874979246e-05,0.0034482758620689655,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.06772717833518982,0.2511737089201878,0.0,1.0,1.0,0.055953383445739746,0.5,0.0,1.0,1.0,0.05144219100475311,0.7488262910798122,0.0,1.0,1.0,0.055953383445739746,0.06609993515439996,0.0,0.0,0.5038132965564728,0.5090764734251746,-0.3129863314843325
simus_clinintraop_pf_v1_motionx0_phasex0_seed21__mcsvd_regon_stap,ClinIntraOp-Pf-v1+motionx0_phasex0,paper,0.0,0.0,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinintraop_pf_v1_motionx0_phasex0_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_intraop_paper_seed21/runs/simus_clinintraop_pf_v1_motionx0_phasex0_seed21,inv_band_fraction,426,12046,290,290,1.0,0.0,8.301510874979246e-05,0.0034482758620689655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0726474225521088,0.2511737089201878,0.0,1.0,1.0,1.0592697262763977,0.5,0.0,1.0,1.0,1.0542320311069489,0.7488262910798122,0.0,1.0,1.0,1.0592697262763977,1.0722682162629606,1.0,1.0,2.015370488166809,2.076155201731057,-0.3296576180187849
simus_clinintraop_pf_v1_motionx0_phasex0_seed21__mcsvd_regon_stap,ClinIntraOp-Pf-v1+motionx0_phasex0,paper,0.0,0.0,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinintraop_pf_v1_motionx0_phasex0_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_intraop_paper_seed21/runs/simus_clinintraop_pf_v1_motionx0_phasex0_seed21,neg_log_band_fraction,426,12046,290,290,1.0,0.0,8.301510874979246e-05,0.0034482758620689655,-0.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,0.07012977823615074,0.2511737089201878,0.0,1.0,1.0,0.057579733431339264,0.5,0.0,1.0,1.0,0.05281254183501005,0.7488262910798122,0.0,1.0,1.0,0.057579733431339264,0.06904532655443944,0.0,0.0,0.7008030414581299,0.7209137564075404,-0.32346760897450477
simus_clinintraop_pf_v1_motionx0_phasex0_seed21__mcsvd_regon_stap,ClinIntraOp-Pf-v1+motionx0_phasex0,paper,0.0,0.0,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinintraop_pf_v1_motionx0_phasex0_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_intraop_paper_seed21/runs/simus_clinintraop_pf_v1_motionx0_phasex0_seed21,score_x_neg_log_band_fraction,426,12046,290,290,1.0,0.09885866925692084,8.301510874979246e-05,0.0034482758620689655,-0.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,0.5641491413116455,0.2511737089201878,0.0,0.9206896551724137,0.9206896551724137,0.5173393189907074,0.5,0.0,1.0,1.0,0.4975225254893303,0.7488262910798122,0.0,1.0,1.0,0.5173393189907074,0.5493529155640535,0.0,0.0,0.715856283903122,0.6933149646068442,-0.06619295330826012
simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21__mcsvd_regon_stap,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,paper,1.4349414110183716,0.15000000596046448,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_intraop_paper_seed21/runs/simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21,pd_stap,426,12046,290,290,0.39850506548060294,0.045167557066537155,8.301510874979246e-05,0.0034482758620689655,133258554.46000257,0.0,0.00016603021749958492,0.0,0.0,54008908.87999994,0.0,0.001079196413747302,0.0,0.0,5309053.125,0.2511737089201878,0.42561846256018593,0.9896551724137931,0.9896551724137931,3719212.25,0.5,0.6317449775859206,1.0,1.0,2618024.375,0.7488262910798122,0.7932923792130168,1.0,1.0,3719212.25,4194788.801203052,4690146.25,5866549.705182218,9799299.5,10501787.175862068,0.016471739836457756
simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21__mcsvd_regon_stap,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,paper,1.4349414110183716,0.15000000596046448,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_intraop_paper_seed21/runs/simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21,score_stap_preka,426,12046,290,290,0.4970155483791008,0.41466731423020886,8.301510874979246e-05,0.0034482758620689655,1.633379385828973,0.0,0.00016603021749958492,0.0,0.0,1.5874979329109191,0.0,0.001079196413747302,0.0,0.0,1.3802508413791656,0.2511737089201878,0.24082683048314793,0.3482758620689655,0.3482758620689655,1.330786645412445,0.5,0.49975095467375064,0.6344827586206897,0.6344827586206897,1.2813197374343872,0.7488262910798122,0.7634899551718413,0.8310344827586207,0.8310344827586207,1.330786645412445,1.331148493178014,1.33070707321167,1.3321128292533422,1.355420708656311,1.3528070815678301,1.0
simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21__mcsvd_regon_stap,ClinIntraOp-Pf-v1+motionx0p25_phasex0p25,paper,1.4349414110183716,0.15000000596046448,runs/sim_eval/simus_failure_decomposition_seed21/simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21/mcsvd_regon_stap,runs/sim_eval/simus_motion_ladder_intraop_paper_seed21/runs/simus_clinintraop_pf_v1_motionx0p25_phasex0p25_seed21,band_fraction,426,12046,290,290,0.0,0.40951108952565973,8.301510874979246e-05,0.0034482758620689655,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6072821319103241,0.2511737089201878,1.0,0.3620689655172414,0.3620689655172414,0.5986324846744537,0.5,1.0,0.6310344827586207,0.6310344827586207,0.5884149968624115,0.7488262910798122,1.0,0.8344827586206897,0.8344827586206897,0.5986324846744537,0.5979580943573248,1.0,1.0,0.603554755449295,0.6023003444589418,0.0003616830797269913
