case,stap_profile,auc_main_vs_bg,auc_main_vs_nuisance,fpr_nuisance_match@0p5,delta_auc_main_vs_bg,delta_auc_main_vs_nuisance,delta_fpr_nuisance_match@0p5
intraop025,Brain-SIMUS-Clin,0.4970155483791008,0.41466731423020886,0.6344827586206897,0.0,0.0,0.0
intraop025,Brain-SIMUS-Clin-MotionWide-v0,0.4970155483791008,0.41466731423020886,0.6344827586206897,0.0,0.0,0.0
intraop025,Brain-SIMUS-Clin-MotionShort-v0,0.5983352937370752,0.5526145378015218,0.4241379310344828,0.10131974535797439,0.13794722357131295,-0.21034482758620693
intraop025,Brain-SIMUS-Clin-MotionLong-v0,0.42659389008799603,0.3553181155900923,0.7206896551724138,-0.07042165829110475,-0.05934919864011656,0.08620689655172409
intraop025,Brain-SIMUS-Clin-MotionRobust-v0,0.5944849321731485,0.5434191355026712,0.4586206896551724,0.09746938379404768,0.12875182127246232,-0.17586206896551732
intraop05,Brain-SIMUS-Clin,0.4930334539195993,0.37501214181641573,0.6655172413793103,0.0,0.0,0.0
intraop05,Brain-SIMUS-Clin-MotionWide-v0,0.4930334539195993,0.37501214181641573,0.6655172413793103,0.0,0.0,0.0
intraop05,Brain-SIMUS-Clin-MotionShort-v0,0.5843028172911507,0.41172899465760077,0.6310344827586207,0.09126936337155145,0.03671685284118503,-0.03448275862068961
intraop05,Brain-SIMUS-Clin-MotionLong-v0,0.45990886655925367,0.4749635745507528,0.5517241379310345,-0.033124587360345625,0.09995143273433704,-0.11379310344827587
intraop05,Brain-SIMUS-Clin-MotionRobust-v0,0.5851088043563835,0.39910150558523555,0.6482758620689655,0.09207535043678416,0.024089363768819816,-0.017241379310344862
intraop1,Brain-SIMUS-Clin,0.46022475268902696,0.34398575360207223,0.7137931034482758,0.0,0.0,0.0
intraop1,Brain-SIMUS-Clin-MotionWide-v0,0.46022475268902696,0.34398575360207223,0.7137931034482758,0.0,0.0,0.0
intraop1,Brain-SIMUS-Clin-MotionShort-v0,0.5678887231184996,0.4211672332847661,0.5827586206896552,0.10766397042947262,0.07718147968269384,-0.13103448275862062
intraop1,Brain-SIMUS-Clin-MotionLong-v0,0.387722552593774,0.3726323457989315,0.6551724137931034,-0.07250220009525299,0.028646592196859277,-0.05862068965517242
intraop1,Brain-SIMUS-Clin-MotionRobust-v0,0.5669320032208304,0.4119718309859155,0.6068965517241379,0.10670725053180341,0.06798607738384327,-0.10689655172413792
mobile025,Brain-SIMUS-Clin,0.4957936088499562,0.4506097890022125,0.5660919540229885,0.0,0.0,0.0
mobile025,Brain-SIMUS-Clin-MotionWide-v0,0.4957936088499562,0.4506097890022125,0.5660919540229885,0.0,0.0,0.0
mobile025,Brain-SIMUS-Clin-MotionShort-v0,0.5253620900787981,0.569410717176623,0.40804597701149425,0.02956848122884187,0.11880092817441046,-0.15804597701149425
mobile025,Brain-SIMUS-Clin-MotionLong-v0,0.45888783918297543,0.515184015973234,0.47126436781609193,-0.03690576966698078,0.06457422697102155,-0.09482758620689657
mobile025,Brain-SIMUS-Clin-MotionRobust-v0,0.5183428313530527,0.5651340996168582,0.4051724137931034,0.02254922250309649,0.11452431061464574,-0.16091954022988508
mobile05,Brain-SIMUS-Clin,0.4872900165952269,0.42556391991797526,0.5747126436781609,0.0,0.0,0.0
mobile05,Brain-SIMUS-Clin-MotionWide-v0,0.4872900165952269,0.42556391991797526,0.5747126436781609,0.0,0.0,0.0
mobile05,Brain-SIMUS-Clin-MotionShort-v0,0.5331518693209676,0.5267423506556581,0.4425287356321839,0.04586185272574067,0.10117843073768285,-0.13218390804597696
mobile05,Brain-SIMUS-Clin-MotionLong-v0,0.40642024430605994,0.3978738330365334,0.6206896551724138,-0.08086977228916697,-0.027690086881441867,0.04597701149425293
mobile05,Brain-SIMUS-Clin-MotionRobust-v0,0.5287326788780723,0.5317575953807134,0.4425287356321839,0.04144266228284538,0.10619367546273817,-0.13218390804597696
mobile1,Brain-SIMUS-Clin,0.4647310505347654,0.4039447412444013,0.6264367816091954,0.0,0.0,0.0
mobile1,Brain-SIMUS-Clin-MotionWide-v0,0.4647310505347654,0.4039447412444013,0.6264367816091954,0.0,0.0,0.0
mobile1,Brain-SIMUS-Clin-MotionShort-v0,0.46690707920109065,0.33519507851707947,0.7413793103448276,0.0021760286663252693,-0.0687496627273218,0.11494252873563227
mobile1,Brain-SIMUS-Clin-MotionLong-v0,0.5165994166337334,0.5039258539744212,0.47701149425287354,0.051868366098968055,0.09998111273001997,-0.14942528735632182
mobile1,Brain-SIMUS-Clin-MotionRobust-v0,0.4689981440471931,0.3403216232259457,0.7183908045977011,0.004267093512427711,-0.06362311801845555,0.09195402298850575
structv2,Brain-SIMUS-Clin,0.9425679652100438,1.0,0.0,0.0,0.0,0.0
structv2,Brain-SIMUS-Clin-MotionWide-v0,0.9425679652100438,1.0,0.0,0.0,0.0,0.0
structv2,Brain-SIMUS-Clin-MotionShort-v0,0.9227545387438918,1.0,0.0,-0.01981342646615203,0.0,0.0
structv2,Brain-SIMUS-Clin-MotionLong-v0,0.9611711444158894,1.0,0.0,0.018603179205845533,0.0,0.0
structv2,Brain-SIMUS-Clin-MotionRobust-v0,0.9326743570616237,1.0,0.0,-0.009893608148420108,0.0,0.0
